Date,Open,High,Low,Close,Adj Close,Volume,precio_medio,vol_mln_usd,color_vela
2020-01-01,129.6306610107422,132.83535766601562,129.1982879638672,130.802001953125,130.802001953125,7935230330,130.6165771484375,1036473.0,verde
2020-01-02,130.82003784179688,130.82003784179688,126.95491027832031,127.4101791381836,127.4101791381836,8032709256,129.0012912750244,1036230.0,roja
2020-01-03,127.41126251220703,134.55401611328125,126.49002075195312,134.1717071533203,134.1717071533203,10476845358,130.65675163269043,1368871.0,verde
2020-01-04,134.16851806640625,136.05271911621094,133.04055786132812,135.06936645507812,135.06936645507812,7430904515,134.58279037475586,1000072.0,verde
2020-01-05,135.0720977783203,139.4102020263672,135.04562377929688,136.2767791748047,136.2767791748047,7526675353,136.45117568969727,1027024.0,verde
2020-01-06,136.3055419921875,144.32818603515625,136.0796356201172,144.3041534423828,144.3041534423828,9093747121,140.25437927246094,1275438.0,verde
2020-01-07,144.31199645996094,145.00177001953125,140.48887634277344,143.5439910888672,143.5439910888672,9257954672,143.3366584777832,1327004.0,roja
2020-01-08,143.48782348632812,146.8280029296875,138.26820373535156,141.2581329345703,141.2581329345703,9387194957,142.46054077148438,1337305.0,roja
2020-01-09,141.15577697753906,141.39398193359375,136.2364044189453,138.9792022705078,138.9792022705078,7697325348,139.44134140014648,1073325.0,roja
2020-01-10,138.967041015625,144.16732788085938,135.52040100097656,143.96377563476562,143.96377563476562,9084816203,140.65463638305664,1277822.0,verde
2020-01-11,143.4091033935547,146.4809112548828,142.2079620361328,142.92710876464844,142.92710876464844,9332208590,143.7562713623047,1341564.0,roja
2020-01-12,143.0325469970703,146.14585876464844,142.7076416015625,145.87393188476562,145.87393188476562,8528167453,144.43999481201172,1231808.0,verde
2020-01-13,146.2201385498047,146.79122924804688,142.90713500976562,144.22659301757812,144.22659301757812,8378529470,145.03627395629883,1215191.0,roja
2020-01-14,144.2510528564453,167.68154907226562,144.06492614746094,165.95535278320312,165.95535278320312,16712318373,155.48822021484375,2598569.0,verde
2020-01-15,165.734619140625,170.42567443847656,161.109619140625,166.23068237304688,166.23068237304688,15173694057,165.87514877319336,2516939.0,verde
2020-01-16,166.33282470703125,167.0581512451172,159.7096405029297,164.39100646972656,164.39100646972656,13735193018,164.37290573120117,2257694.0,roja
2020-01-17,164.4893798828125,173.0692138671875,162.77560424804688,170.7799530029297,170.7799530029297,14997091826,167.77853775024414,2516190.0,verde
2020-01-18,170.7477264404297,178.52877807617188,166.7890167236328,175.3656768798828,175.3656768798828,14929342256,172.8577995300293,2580653.0,verde
2020-01-19,175.46759033203125,177.2476348876953,163.67686462402344,166.9698486328125,166.9698486328125,13713374132,170.84048461914062,2342799.0,roja
2020-01-20,166.9041290283203,169.11488342285156,162.33160400390625,167.12051391601562,167.12051391601562,11144529787,166.36778259277344,1854091.0,verde
2020-01-21,167.0604705810547,169.9101104736328,165.81971740722656,169.69715881347656,169.69715881347656,9789369362,168.12186431884766,1645807.0,verde
2020-01-22,169.60853576660156,171.00869750976562,166.77423095703125,168.29415893554688,168.29415893554688,9209827928,168.92140579223633,1555737.0,roja
2020-01-23,168.2957000732422,168.31224060058594,160.29531860351562,162.92855834960938,162.92855834960938,10396868698,164.95795440673828,1715046.0,roja
2020-01-24,162.8993682861328,164.3094482421875,156.74974060058594,163.05117797851562,163.05117797851562,10657671162,161.75243377685547,1723904.0,verde
2020-01-25,163.06729125976562,163.22723388671875,158.63247680664062,161.283935546875,161.283935546875,8256956802,161.552734375,1333934.0,roja
2020-01-26,161.17681884765625,168.22032165527344,160.2811279296875,168.0771026611328,168.0771026611328,9261861590,164.4388427734375,1523010.0,verde
2020-01-27,168.00885009765625,172.92291259765625,166.90109252929688,170.93089294433594,170.93089294433594,11004476145,169.69093704223633,1867360.0,verde
2020-01-28,170.88485717773438,176.3703155517578,170.73806762695312,176.3703155517578,176.3703155517578,11772875064,173.59088897705078,2043664.0,verde
